Feature,Pearson,Linear Regression,RFE,Lasso,Ridge,Elastic Net,Total
EOGScienceGr5&8_CACR_White,True,False,False,False,False,False,1
EOGScienceGr5&8_CACR_SWD,True,False,False,False,False,False,1
EOGScienceGr5&8_CACR_EDS,True,False,False,False,False,False,1
EOGScienceGr5&8_CACR_AIG,True,False,False,False,False,False,1
EOGReadingGr5_GLP_SWD,True,False,False,False,False,False,1
EOGReadingGr5_CACR_LEP,False,False,True,False,False,False,1
EOGReadingGr5_CACR_EDS,True,False,False,False,False,False,1
EOGReadingGr4_CACR_Hispanic,True,False,False,False,False,False,1
EOGReadingGr3_GLP_SWD,True,False,False,False,False,False,1
EOGReadingGr3_CACR_SWD,True,False,False,False,False,False,1
EOGReadingGr3_CACR_Black,False,False,False,True,False,False,1
wap_num,False,False,False,False,False,False,0
student_num,False,False,False,False,False,False,0
crime_per_c_num,False,False,False,False,False,False,0
books_per_student,False,False,False,False,False,False,0
Tuition and fees deduction Amt 75KLT100K,False,False,False,False,False,False,0
State and local general sales taxes Amt GE200K,False,False,False,False,False,False,0
Self-employment retirement plans Amt 25KLT50K,False,False,False,False,False,False,0
Residential energy tax credit Amt LT25K,False,False,False,False,False,False,0
Number of volunteer prepared returns Tot 50KLT75K,False,False,False,False,False,False,0
Math I Score,False,False,False,False,False,False,0
LEACode,False,False,False,False,False,False,0
EOGSubjects_GLP_LEP,False,False,False,False,False,False,0
EOGSubjects_CACR_AmericanIndian,False,False,False,False,False,False,0
EOGScienceGr5_GLP_LEP,False,False,False,False,False,False,0
EOGScienceGr5_CACR_TwoorMoreRaces,False,False,False,False,False,False,0
EOGScienceGr5_CACR_LEP,False,False,False,False,False,False,0
EOGScienceGr5_CACR_Hispanic,False,False,False,False,False,False,0
EOGScienceGr5_CACR_Black,False,False,False,False,False,False,0
EOGScienceGr5&8_GLP_LEP,False,False,False,False,False,False,0
EOGScienceGr5&8_CACR_TwoorMoreRaces,False,False,False,False,False,False,0
EOGScienceGr5&8_CACR_LEP,False,False,False,False,False,False,0
EOGScienceGr5&8_CACR_Hispanic,False,False,False,False,False,False,0
EOGScienceGr5&8_CACR_Black,False,False,False,False,False,False,0
EOGScienceGr5&8_CACR_Asian,False,False,False,False,False,False,0
EOGScienceGr5&8_CACR_AmericanIndian,False,False,False,False,False,False,0
EOGReadingGr5_GLP_LEP,False,False,False,False,False,False,0
EOGReadingGr5_GLP_Hispanic,False,False,False,False,False,False,0
EOGReadingGr5_CACR_TwoorMoreRaces,False,False,False,False,False,False,0
EOGReadingGr5_CACR_Hispanic,False,False,False,False,False,False,0
EOGReadingGr5_CACR_Black,False,False,False,False,False,False,0
EOGReadingGr4_CACR_TwoorMoreRaces,False,False,False,False,False,False,0
EOGReadingGr4_CACR_LEP,False,False,False,False,False,False,0
EOGReadingGr4_CACR_Black,False,False,False,False,False,False,0
EOGReadingGr3_GLP_LEP,False,False,False,False,False,False,0
EOGReadingGr3_CACR_TwoorMoreRaces,False,False,False,False,False,False,0
EOGReadingGr3_CACR_LEP,False,False,False,False,False,False,0
