VIF Factor,ABSVIFFactor,features,indexes
inf,inf,TwoOrMoreFemalePct,313
inf,inf,TwoOrMoreMalePct,314
inf,inf,lea_total_expense_num,379
inf,inf,lea_salary_expense_pct,368
inf,inf,HispanicPct,251
inf,inf,lea_supplies_expense_pct,375
inf,inf,TwoOrMorePct,315
inf,inf,lea_state_perpupil_num,373
inf,inf,WhitePct,316
inf,inf,Number of farm returns 50KLT75K,270
inf,inf,AsianPct,29
