feature_names,weights,absolute_weights
closed_ind,0.0007346666220470221,0.0007346666220470221
EOCMathI_CACR_SWD,0.0007319887875081458,0.0007319887875081458
Accomplished_TCHR_Standard 3_Pct,0.0007021584867447292,0.0007021584867447292
Developing_TCHR_Standard 3_Pct,-0.0006783062375069111,0.0006783062375069111
EOGMathGr5_CACR_TwoorMoreRaces,-0.0006712543496868104,0.0006712543496868104
Reading SPG Grade_B,-0.0006563162000669887,0.0006563162000669887
Domestic production activities deduction Amt 100KLT200K,0.0006516090682195646,0.0006516090682195646
EOGReadingGr5_CACR_Black,0.000645272608555199,0.000645272608555199
digital_media_pct,-0.0006428726635800003,0.0006428726635800003
(VITA) prepared returns Ct 25KLT50K,-0.0006366222556271691,0.0006366222556271691
EOGMathGr4_GLP_SWD,-0.0006255140586732882,0.0006255140586732882
EOGReadingGr3-8_CACR_LEP,-0.0006246680481106831,0.0006246680481106831
Net investment income tax Amt 100KLT200K,0.0006015669427394312,0.0006015669427394312
stud_internet_comp_num,-0.0006006798183495216,0.0006006798183495216
EOGMathGr3-8_CACR_AmericanIndian,0.0005998327402394897,0.0005998327402394897
EOGMathGr4_CACR_Black,-0.0005938670500091657,0.0005938670500091657
SBE District_Southwest,-0.0005732644114249739,0.0005732644114249739
EOGGr3_GLP_SWD,0.0005674953271911547,0.0005674953271911547
EOGReadingGr3_CACR_AmericanIndian,-0.0005564079419255463,0.0005564079419255463
EOGMathGr4_CACR_AmericanIndian,-0.0005526134580045972,0.0005526134580045972
EOGReadingGr3_CACR_EDS,0.0005445754931481931,0.0005445754931481931
EOGGr3_CACR_LEP,-0.0005386107600749844,0.0005386107600749844
EVAAS Growth Score,0.0005296461492126821,0.0005296461492126821
EOGScienceGr5_CACR_TwoorMoreRaces,-0.0005191649964644916,0.0005191649964644916
EOGMathGr5_CACR_AmericanIndian,0.0005135568595155513,0.0005135568595155513
EOGGr5_CACR_AmericanIndian,0.0005116136828484511,0.0005116136828484511
short_susp_per_c_num,0.0005090929716177802,0.0005090929716177802
crime_per_c_num,-0.0005022174638760345,0.0005022174638760345
EOGGr3_CACR_AmericanIndian,0.0004951775152093843,0.0004951775152093843
EOGReadingGr5_CACR_Hispanic,0.0004895501621326572,0.0004895501621326572
EOGMathGr3_CACR_LEP,-0.0004836042066367558,0.0004836042066367558
Excess earned income credit (refundable) Amt 50KLT75K,-0.00048070947081569,0.00048070947081569
lea_sat_participation_pct,0.00047727996290190594,0.00047727996290190594
EOGMathGr4_CACR_SWD,-0.0004683005108036558,0.0004683005108036558
EOGGr5_CACR_Asian,0.0004670976333481213,0.0004670976333481213
EOGScienceGr5&8_CACR_Asian,0.0004590785112118462,0.0004590785112118462
EOGGr4_CACR_SWD,-0.00045178996177891163,0.00045178996177891163
EOGReadingGr5_CACR_LEP,-0.00043496955012125704,0.00043496955012125704
SBE District_Western,0.00042614399099136745,0.00042614399099136745
Grad_project_status_Y,-0.00041875241458210356,0.00041875241458210356
EOCSubjects_CACR_TwoorMoreRaces,-0.00041832845388382195,0.00041832845388382195
Distinguished_TCHR_Standard 3_Pct,0.00040850357173651246,0.00040850357173651246
lea_emer_prov_teach_pct,0.0003970660296540142,0.0003970660296540142
EOCSubjects_CACR_Hispanic,-0.00038846464751428594,0.00038846464751428594
EOG/EOCSubjects_CACR_AmericanIndian,-0.00038620907663978934,0.00038620907663978934
lea_not_highqual_class_hp_pct,0.00037684388543883247,0.00037684388543883247
EOGScienceGr5&8_CACR_EDS,-0.00036138442069371616,0.00036138442069371616
EOGMathGr4_CACR_LEP,0.0003339529274993397,0.0003339529274993397
EOGReadingGr5_CACR_AmericanIndian,0.0003269443046665589,0.0003269443046665589
EOGMathGr3_CACR_Asian,0.00032624545558451864,0.00032624545558451864
EOGMathGr3-8_GLP_SWD,0.00031406878305419855,0.00031406878305419855
esea_status_RF,-0.0003126884657654133,0.0003126884657654133
EOGMathGr3-8_GLP_LEP,-0.00031130821293368603,0.00031130821293368603
EOGSubjects_CACR_AmericanIndian,-0.00030173452908613743,0.00030173452908613743
Proficient_TCHR_Standard 3_Pct,0.00029883506852810995,0.00029883506852810995
EOGGr5_CACR_White,0.0002925258197026101,0.0002925258197026101
SBE District_Northeast,-0.0002837974753363567,0.0002837974753363567
EOGScienceGr5_CACR_Hispanic,0.00028348901108035587,0.00028348901108035587
EOGScienceGr5&8_CACR_LEP,0.00026771121850103965,0.00026771121850103965
